finished,responseid,lead_swm,lead_swm_o,swm_satisfaction,wtp1,wtp2,wtp3,wtp4,wtp5,wtp6,wtp7,wtp8,wtp9,wtp10,wtp11,wtp12,wtp13,wtp14,wtp15,wtp16,wtp17,wtp18,wtp19,wtp20,wtp21,wtp22,wtp23,wtp24,wtp25,wtp26,wtp27,wtp28,wtp29,wtp30,wtp31,wtp32,wtp33,wtp34,wtp35,wtp36,publ_educ,nat_env,crime_prev,housing,unempl_pov,health_serv,foodsec,pp_other,pp_other_txt,pp_pnts,water_poll,air_poll,deforestation,soil_deg,env_swm,biodiv_loss,climate_ch,env_other,env_other_txt,env_pnts,impact_swm,effects_swm,effects_swm_o,frequency,frequency_o,engagement,w3,village,gender,d3,age,educ,employ,employ_o,religion,religion_o,d7,yrs_cape,d8,yrs_house,hh_position,hh_position_om,hh_position_of,ownership,ownership_o,d11,buildings,d12,people,income,household_id,z1,ns_bid1,s_bid1,ns_bid2,s_bid2,response_ns_bid1,response_s_bid1,response_ns_bid2,response_s_bid2
True,R_3LhBFzDQb1cqbI5,Daughter of head of HH,,Somewhat satisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,3,0,5,5,15,0,,0,5,5,10,5,5,3,7,0,,0,Yes,"Spread of diseases,Health issues",,Bi-weekly / twice a week,,I would be willing to pay a fee,Kukhala moyo waukhondo,Muonda,Female,Please state the age in completed years of life,27,Secondary education ,Unemployed,,Islam ,,Please enter amount as a number,2,Please enter amount as a number,2,Daughter of head of HH,,,Rental ,,Please enter amount as a number,1,Please enter amount as a number,5,Prefer not to say,10,Survey was perfect,500,500,1000,1000,1,1,1,1
True,R_YSwSab1V5dXDN8R,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,Yes,,No,Yes,,Yes,,,,,,,,,,,,,4,10,2,2,8,6,8,0,,0,20,2,2,2,2,2,10,0,-,0,Yes,"Air pollution,Health issues,Aesthetic and psychological impact,Climate change ",,Every day,,I would be willing to contribute my time,kutetezeka kumatenda osiyanasiyana,Chembe,Female,Please state the age in completed years of life,38,Primary education,Self-employed,,Christianity,,Please enter amount as a number,2,Please enter amount as a number,1,Female head of HH,,,Rental ,,Please enter amount as a number,3,Please enter amount as a number,4,"Less than 25,000",1,,2000,2000,4000,4000,1,1,0,1
True,R_2am1iS93tV0N9bw,Male head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,Prefer not to say,Yes,,Prefer not to say,,,,,,,,,,,,,,,,,,,6,3,6,2,6,6,11,0,,0,7,7,4,9,3,4,6,0,,0,Yes,"Water pollution,Spread of diseases,Decrease of tourism",,Every day,,I would be willing to contribute my time,Healthy hygiene ,Muonda,Female,Please state the age in completed years of life,24,Primary education,Self-employed,,Christianity,,All my life,,Please enter amount as a number,19,Male head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,4,"Less than 25,000",7,Thanks for helping us to know more about waste management ,1500,1500,,,1,1,,
True,R_1o15LAdgiVCPP2i,Male head of HH,,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,Yes,,No,2,5,6,1,6,3,9,8,Discrimination,0,3,3,9,10,7,2,6,0,,0,Yes,Health issues,,Bi-weekly / twice a week,,I would be willing to contribute my time,Improved health,Katukumala,Female,Please state the age in completed years of life,36,Secondary education ,Self-employed,,Christianity,,Please enter amount as a number,3,Please enter amount as a number,1,Female head of HH,,,Owner,,Please enter amount as a number,4,Please enter amount as a number,4,Prefer not to say,4,,3000,3000,6000,6000,1,1,0,0
True,R_2z5Cfa2iERHZLH2,"Hired labour (e.g., gardener, maid, etc.) ",,Somewhat dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,No,No,,,,,,,,8,3,4,9,1,9,6,0,,0,6,7,7,6,5,4,5,0,,0,Yes,"Water pollution,Other (please specify):",Waste Along beach,Other (please specify): ,Three times a week,I would be willing to contribute my time,Reduced illnesses due to pollution. Job opportunities to the workers ,Chembe,Male,Please state the age in completed years of life,50,Secondary education ,Self-employed,,Christianity,,Please enter amount as a number,.1,Please enter amount as a number,.1,Other male (please specify):,Brother of the owner ,,Rental ,,Please enter amount as a number,2,Please enter amount as a number,26,"More than 300,000",15,Thanked for the the time spent on the topic.,2500,2500,1250,1250,0,0,0,0
True,R_2XhyvDyng7aH9IE,Female head of HH,,Extremely satisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,9,9,2,3,9,0,,0,5,5,5,5,5,10,5,0,-,0,Yes,"Air pollution,Spread of diseases,Health issues,Decrease of tourism",,Every day,,I would be willing to contribute my time,kukongoletsa mu dera,Chembe,Female,Please state the age in completed years of life,35,Primary education,Self-employed,,Christianity,,Please enter amount as a number,1,Please enter amount as a number,1,Female head of HH,,,Owner,,Please enter amount as a number,4,Please enter amount as a number,6,"Less than 25,000",,,500,500,1000,1000,1,1,1,1
True,R_29jq4x9yQnbMM3a,Male head of HH,,Somewhat satisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,5,3,7,5,10,0,,0,10,4,6,10,2,2,6,0,,0,Yes,"Water pollution,Spread of diseases,Health issues",,Bi-weekly / twice a week,,I would be willing to contribute my time,Healthy people ,Muonda,Female,Please state the age in completed years of life,36,No education,Unemployed,,Christianity,,Please enter amount as a number,15,Please enter amount as a number,4,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,7,"25,001 to 50,000",,None,1000,1000,500,500,0,0,0,0
True,R_29hxqDUss3HvNDl,Female head of HH,,Extremely satisfied,,,,,,,No,Yes,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,6,7,9,2,9,0,,0,2,8,3,13,2,4,8,0,,0,Yes,"Health issues,Decrease of tourism",,Every day,,I would be willing to contribute my time,Improved health ,Katukumala,Female,Please state the age in completed years of life,37,Primary education,Self-employed,,Christianity,,All my life,,Please enter amount as a number,20,Female head of HH,,,Owner,,Please enter amount as a number,5,Please enter amount as a number,5,"Less than 25,000",,,1000,1000,500,500,0,0,1,1
True,R_3flBg5mr1Yd5f9M,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,No,No,,,,,,,,4,5,7,3,7,3,11,0,,0,4,3,9,16,2,1,5,0,,0,Yes,"Water pollution,Spread of diseases,Decrease of tourism",,Other (please specify): ,2 times per every week,I would be willing to contribute my time,To develop the community so as to be a good place with hygienic ,Muonda,Female,Please state the age in completed years of life,42,Primary education,Self-employed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,6,"More than 300,000",,Thanks for the project because it Will make capemaclear a good place for all,2500,2500,1250,1250,0,0,1,0
True,R_1n86d1rFIW4Dy2t,Female head of HH,,Somewhat dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,6,6,6,6,6,5,5,0,,0,10,6,2,10,3,5,4,0,-,0,Yes,"Water pollution,Health issues,Economic impact",,Bi-weekly / twice a week,,I would be willing to contribute my time,kupewa matenda,Chembe,Female,Please state the age in completed years of life,34,Primary education,Unemployed,,Christianity,,Please enter amount as a number,5,Please enter amount as a number,5,Female head of HH,,,Owner,,Please enter amount as a number,6,Please enter amount as a number,4,"Less than 25,000",,,3000,3000,6000,6000,1,1,1,1
True,R_3iEXKKeJasr4BXf,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,10,15,0,0,5,5,5,0,,0,5,5,5,0,10,0,15,0,,0,Yes,"Spread of diseases,Decrease of tourism",,Every day,,I would be willing to contribute my time,Clean community,Muonda,Female,Please state the age in completed years of life,28,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,3,Female head of HH,,,Rental ,,Please enter amount as a number,2,Please enter amount as a number,7,"75,001 to 100,000",,None,2000,2000,4000,4000,1,1,1,1
True,R_3GqyCTRC5qiQ5Ms,Female head of HH,,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,6,6,6,6,6,5,5,0,,0,3,5,6,1,7,10,8,0,,0,Yes,"Water pollution,Air pollution,Spread of diseases,Health issues",,Every day,,I would be willing to contribute my time,kukongoletsa nthaka,Chembe,Female,Please state the age in completed years of life,34,Primary education,Unemployed,,Islam ,,All my life,,All my life,,Female head of HH,,,Rental ,,Please enter amount as a number,7,Please enter amount as a number,9,"75,001 to 100,000",2,,2000,2000,4000,4000,1,1,1,1
True,R_2rYKC0ntH35Rg7F,Female head of HH,,Extremely satisfied,,,,,,,No,Yes,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,8,5,10,10,0,0,,0,10,4,9,3,6,2,6,0,,0,Yes,"Health issues,Decrease of tourism",,Every day,,I would be willing to contribute my time,Disease prevention ,Katukumala,Female,Please state the age in completed years of life,30,No education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,23,Female head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,4,"25,001 to 50,000",,No comment ,1000,1000,500,500,0,0,1,1
True,R_UMjBArxnXCfDZ5v,Female head of HH,,Somewhat satisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,7,5,6,9,0,,0,3,6,9,10,2,5,5,0,,0,Yes,"Water pollution,Air pollution,Spread of diseases,Health issues",,Bi-weekly / twice a week,,I would be willing to contribute my time,kupewa matenda,Chembe,Female,Please state the age in completed years of life,26,Secondary education ,Other (please specify):,-,Christianity,,Please enter amount as a number,1,Please enter amount as a number,1,Female head of HH,,,Rental ,,Please enter amount as a number,7,Please enter amount as a number,7,"25,001 to 50,000",,,500,500,1000,1000,1,1,1,1
True,R_2ZIT4h82aDLZKLi,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,No,Yes,,No,,,,,,,,,,,,,,,,,,,10,0,0,0,5,10,15,0,,0,10,0,10,15,5,0,0,0,,0,Yes,"Water pollution,Spread of diseases",,Every day,,I would be willing to contribute my time,Clean and beauty of the place,Muonda,Female,Please state the age in completed years of life,36,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,13,Female head of HH,,,Owner,,Please enter amount as a number,3,Please enter amount as a number,5,Prefer not to say,11,None,1500,1500,3000,3000,1,1,0,0
True,R_1jxi7MyJtYT7OJh,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,No,Yes,,1,6,9,2,7,5,10,0,,0,6,4,8,7,5,4,6,0,,0,Yes,"Economic impact,Other (please specify):",Harm people,Every day,,I would be willing to contribute my time,Improved health ,Katukumala,Female,Please state the age in completed years of life,21,Primary education,Self-employed,,Islam ,,All my life,,Please enter amount as a number,4,Female head of HH,,,Other (please specify):,For my sister ,Please enter amount as a number,4,Please enter amount as a number,3,"200,001 to 225,000",5,,3000,3000,1500,1500,0,0,1,1
True,R_27ak3NkGghoe8NM,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,No,No,,,,,,,,9,2,7,2,7,7,6,0,,0,5,5,2,10,5,5,8,0,,0,Yes,"Spread of diseases,Decrease of tourism",,Every day,,I would be willing to contribute my time,Prevention of various diseases ,Muonda,Female,Please state the age in completed years of life,55,Primary education,Other (please specify):,A business woman only if she has the capital ,Christianity,,All my life,,Please enter amount as a number,10,Female head of HH,,,Owner,,Please enter amount as a number,1,Please enter amount as a number,5,"25,001 to 50,000",,You need to take an action so as to make capemaclear clean ,2500,2500,5000,1250,1,0,0,0
True,R_22mMuUvEKocx9aB,Female head of HH,,Extremely satisfied,,,,,,,,,,,,,Yes,,No,Yes,,No,,,,,,,,,,,,,,,,,,,9,10,0,0,7,8,6,0,,0,11,0,15,0,14,0,0,0,,0,Yes,"Water pollution,Decrease of tourism,Climate change ,Loss of biodiversity ,Natural Disasters,Food insecurity",,Once a week,,I would be willing to contribute my time,"Clean community and attract tourism, Free from diseases ",Kafukuta,Male,Please state the age in completed years of life,48,Secondary education ,Unemployed,,Christianity,,Please enter amount as a number,26,Please enter amount as a number,26,Male head of HH,,,Owner,,Please enter amount as a number,5,Please enter amount as a number,5,"25,001 to 50,000",,"The government should make sure that whatever service they Promise to people  must be done according to the agreement.  For example when they promise tree plantations, must be done and should be provided not to just end in suspension. ",1500,1500,3000,3000,1,1,0,0
True,R_1OjMiePfb0OayOE,Female head of HH,,Extremely satisfied,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,10,0,,0,4,5,8,6,7,5,5,0,,0,Yes,"Water pollution,Air pollution,Health issues,Economic impact,Decrease of tourism",,Bi-weekly / twice a week,,I would be willing to contribute my time,kupewa matenda,Muonda,Female,Please state the age in completed years of life,45,Primary education,Unemployed,,Christianity,,All my life,,All my life,,Female head of HH,,,Owner,,Please enter amount as a number,10,Please enter amount as a number,4,"200,001 to 225,000",,,500,500,1000,1000,1,1,1,1
True,R_3mkMpftHZDbTr6J,Female head of HH,,Extremely satisfied,,,,,,,No,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,0,0,6,4,5,0,,0,10,2,7,2,6,0,13,0,,0,Yes,Spread of diseases,,Every day,,I would be willing to contribute my time,"Healthy livelihoods,good air fo breathing",Muonda,Female,Please state the age in completed years of life,48,Primary education,Unemployed,,Christianity,,All my life,,Please enter amount as a number,13,Female head of HH,,,Owner,,Please enter amount as a number,2,Please enter amount as a number,3,"25,001 to 50,000",,None,1000,1000,500,500,0,0,0,0
True,R_3KUsjOyOw9xn8Zp,Male head of HH,,Extremely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,Yes,,No,,,,,,,2,8,5,1,9,4,11,0,,0,7,3,8,5,4,6,7,0,,0,Yes,"Loss of biodiversity ,Other (please specify):",Harm people,Bi-weekly / twice a week,,I would be willing to pay a fee,Beautiful environment ,Katukumala,Male,Please state the age in completed years of life,54,Secondary education ,Private sector,,Christianity,,All my life,,Please enter amount as a number,27,Male head of HH,,,Owner,,Please enter amount as a number,4,Please enter amount as a number,3,"25,001 to 50,000",,Proper waste collection is best to our health ,2500,2500,5000,5000,1,1,0,0
