finished,responseid,a1,a2_1,a3,a4,a5,a6,a7,a8,a8_2_text,b1_1,b2,b3,b3_1_text,b3_2_text,b3_3_text,b3_4_text,b4,b5,b6,d1,d2,d2_4_text,d3,d3_5_text,d4,d4_4_text,d5,d5_4_text,d6,d6_4_text,d7,d7_4_text
True,R_sLSOdOyDD0qdhMB,Yes,Extremely satisfied,,,,,,Yes (please specify):,floating trash in the lake,Moderately important,Yes,Donation,,,10,,No ,No ,no trash on the beach,Prefer not to say / don't know,Please write the country's name:,Cuba,Please state the age in completed years of life:,99,Please enter the name of your accommodation:,Mgoza,Please enter amount as a number:,5,Please enter amount as a number:,7,Please enter the amount in US-$:,500
True,R_2rJlErE7lVU26Jp,Yes,Somewhat dissatisfied,Yes,No,Yes,No,No,Yes (please specify):,Plastic soup in the Lake,Not at all important,Yes,Fixed fee per day,1,,,,Yes,Yes,That the lodge provides facilities for waste separation.,Male,Please write the country's name:,Holland,Please state the age in completed years of life:,40,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,6,Please enter amount as a number:,1000,Please enter the amount in US-$:,600
True,R_3OepzKAEo307MrG,No ,Somewhat dissatisfied,Yes,No,No,No,Yes,Yes (please specify):,In the water,Moderately important,Yes,Fixed fee per day,10,,,,Yes,Yes,Réduction of bottle of water,Male,Please write the country's name:,French,Please state the age in completed years of life:,28,Please enter the name of your accommodation:,Mgoza lodge,Please enter amount as a number:,4,Please enter amount as a number:,14,Prefer not to say / don't know,
True,R_cGFmQ5ofAJUVAhX,Yes,Extremely dissatisfied,Yes,No,No,Yes,No,Yes (please specify):,Waste almost everywhere,Moderately important,Yes,Fixed fee per stay,,5,,,Yes,Yes,"More bins and improved recycling initiatives, more people who clean up litter and educational programs to improve the situation on the long term",Male,Please write the country's name:,Netherlands,Please state the age in completed years of life:,25,Please enter the name of your accommodation:,Thumbi View,Please enter amount as a number:,4,Please enter amount as a number:,23,Please enter the amount in US-$:,250
True,R_2OYEFmxrREFvkP4,Yes,Somewhat dissatisfied,No,No,No,Yes,Yes,Yes (please specify):,All of the mentioned in the example above,Very important,Yes,Fixed fee per stay,,15,,,Yes,Yes,"Recycling, sustainable products, curio made of recycled materials etc., food waste composting",Female,Please write the country's name:,Norwegian,Please state the age in completed years of life:,33,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,3,Please enter amount as a number:,40,Please enter the amount in US-$:,300
True,R_9QxKJFESsmcym0V,No ,Extremely dissatisfied,No,No,No,No,No,Yes (please specify):,While hiking. Many empty plastic bottles and pieces of fishing nets ,Very important,Prefer not to say / don't know,,,,,,Yes,Yes,"Garbage bins, hubs where people can turn in their empty plastic bottles. ",Male,Please write the country's name:,Netherlands ,Please state the age in completed years of life:,26,Please enter the name of your accommodation:,Thumbi lodge ,Please enter amount as a number:,4,Please enter amount as a number:,20,Please enter the amount in US-$:,200
True,R_2EsCeVgMIKebnMV,Yes,Somewhat dissatisfied,No,No,No,No,No,Yes (please specify):,"Littered areas, even in national parks ",Extremely important,Yes,Fixed fee per day,3,,,,Yes,Yes,"Public trash cans, where you can separate your trash. starting to separate in the accomodation ",Male,Please write the country's name:,Germany,Please state the age in completed years of life:,25,Please enter the name of your accommodation:,Thumbi View Lodge ,Please enter amount as a number:,5,Please enter amount as a number:,16,Please enter the amount in US-$:,250
True,R_27226yDPGS2damT,Yes,Somewhat dissatisfied,No,No,No,Yes,No,Yes (please specify):,A lot of plastic waste littering some areas,Slightly important,Yes,Fixed fee per day,3,,,,No ,Yes,Composting of food waste. Banning of single use plastics in particular water bottles,Male,Please write the country's name:,France,Please state the age in completed years of life:,44,Please enter the name of your accommodation:,Mgoza lodge,Please enter amount as a number:,3,Please enter amount as a number:,10,Please enter the amount in US-$:,300
True,R_31g7UIAuDHtxABT,No ,Neither satisfied nor dissatisfied,No,No,No,No,Yes,Yes (please specify):,Littered areas,Moderately important,Yes,Fixed fee per day,1,,,,Prefer not to say / don't know,Yes,Less trash around the village. Better roads,Male,Please write the country's name:,Denmark,Please state the age in completed years of life:,30,Please enter the name of your accommodation:,Chembe,Please enter amount as a number:,4,Please enter amount as a number:,182,Please enter the amount in US-$:,350
True,R_1FP9R8zsx7VZM2t,No ,Extremely dissatisfied,No,No,No,Yes,No,No,,Slightly important,Yes,Fixed fee per day,5,,,,No ,Yes,Verbot von Plastik ,Male,Please write the country's name:,Deutschland ,Please state the age in completed years of life:,60,Prefer not to say / don't know,,Prefer not to say / don't know,,Please enter amount as a number:,18,Prefer not to say / don't know,
True,R_2Vxx42j8YzVNzdf,Yes,Extremely dissatisfied,No,No,Yes,No,Yes,Yes (please specify):,überall Plastik,Very important,Yes,Fixed fee per stay,,10,,,Prefer not to say / don't know,Yes,Plastik verbieten wie in Uganda,Male,Please write the country's name:,german,Please state the age in completed years of life:,61,Please enter the name of your accommodation:,Mogoza Lodge,Please enter amount as a number:,2,Please enter amount as a number:,15,Please enter the amount in US-$:,50
True,R_3nCXSemP9nU8mdS,Yes,Neither satisfied nor dissatisfied,No,No,No,No,No,No,,Very important,Yes,Fixed fee per stay,,10,,,Yes,Yes,Verbot von Plastikflaschen und Tüten,Female,Please write the country's name:,Germany,Please state the age in completed years of life:,55,Please enter the name of your accommodation:,Mgoza Lodge,Please enter amount as a number:,2,Please enter amount as a number:,17,Please enter the amount in US-$:,150
True,R_XZC5tpTXsiNrJOV,Yes,Neither satisfied nor dissatisfied,No,No,No,No,No,Prefer not to say / don't know,,Very important,Yes,Fixed fee per stay,,10,,,Prefer not to say / don't know,Yes,Plastik verboten!,Female,Please write the country's name:,Deutschland ,Please state the age in completed years of life:,60,Please enter the name of your accommodation:,Mgoza Lodge ,Please enter amount as a number:,2,Please enter amount as a number:,17,Please enter the amount in US-$:,150
True,R_Q0P4cnh8IveRwI1,Yes,Neither satisfied nor dissatisfied,No,No,No,No,No,Yes (please specify):,"Plastic waste in Lake Malawi, particularly around the rocks along shorelines of the islands",Slightly important,Yes,Fixed fee per stay,,5,,,Yes,Yes,Prevention of open dedication into the lake. Removal of plastic waste from the lake.,Male,Prefer not to say / don't know,,Please state the age in completed years of life:,33,Please enter the name of your accommodation:,Thumbi,Please enter amount as a number:,3,Please enter amount as a number:,60,Please enter the amount in US-$:,120
True,R_3PYzgFKJCI0npn6,Yes,Somewhat dissatisfied,No,No,No,No,No,Yes (please specify):,waste on the street and in the lake,Moderately important,No,,,,,,Yes,Yes,"I think waste management is for a great part a governmental issue. I would be willing to donate only if it is a sustainable project that the government will take over, and I want to be able tonsee where this moneu goes. I don't want to pay money for the next corruptive government. ",Female,Please write the country's name:,The Netherlands,Please state the age in completed years of life:,32,Please enter the name of your accommodation:,Mgoza,Please enter amount as a number:,3,Please enter amount as a number:,200,Please enter the amount in US-$:,150
True,R_BXGmjK9dlcp9VBv,No ,Somewhat dissatisfied,No,No,No,No,Yes,No,,Moderately important,Prefer not to say / don't know,,,,,,Yes,Yes,"More bins everywhere, especially along the beach and in the streets. ",Male,Please write the country's name:,Romania,Please state the age in completed years of life:,33,Please enter the name of your accommodation:,Waem heart Airbnb,Please enter amount as a number:,4,Please enter amount as a number:,8,Please enter the amount in US-$:,200
True,R_3j7B50I6yQHVInK,Yes,Neither satisfied nor dissatisfied,Yes,No,No,No,Yes,No,,Slightly important,Prefer not to say / don't know,,,,,,Yes,No ,It would be nice to see that people in their homes and work places have support from councils/governments in disposing of waste properly ,Female,Please write the country's name:,Australia ,Please state the age in completed years of life:,23,Please enter the name of your accommodation:,Warm hearts ,Please enter amount as a number:,7,Please enter amount as a number:,30,Prefer not to say / don't know,
True,R_UrKvJPoGvckjBsZ,No ,Neither satisfied nor dissatisfied,Yes,No,No,No,No,No,,Not at all important,No,,,,,,Yes,Yes,None,Female,Please write the country's name:,Sweden,Please state the age in completed years of life:,23,Please enter the name of your accommodation:,Thumbi View Lodge,Please enter amount as a number:,3,Please enter amount as a number:,21,Please enter the amount in US-$:,500
